Dataset_Name,numberofFeatres,logofFeatures,numberofInstances,logofInstances,numberofClasses,numberofNumericalFeatures,numberofCategoricalFeatures,ratio,entropy,classprobmax,classprobmin,classprobmean,classprobstd,symbolsmean,symbolssum,symbolsstd,skewnessmin,skewnessmax,skewnessmean,skewnessstd,kurtosismin,kurtosismax,kurtosismean,kurtosisstd,DatasetRatioofNumberofFeaturestoNumberofInstances,Best_model
modified_clf1,5,1.6094379124341005,400,5.991464547107982,2,400,1,400,0.940588414,0.6425,0.3575,0.5,0.201525433,3940330.068,6304528108,34160.86083047824,-0.03451261,0.596902836,0.3221878296005131,0.2833311024037027,-1.651992131,-0.405877563,-0.965685375,0.5624696695823672,0.0125,KNN
modified_clf10,17,2.833213344056216,10000,9.210340371976184,2,10000,0,0,0.7292666572167683,0.7963,0.2037,0.5,0.4190314785311481,1.1984275647058824,203732.686,0.7435164606402765,-0.901811595,1.4716106649378211,0.2852141908350011,0.6250245340071403,-1.996746803,1.395258606200119,-0.805511315,0.9010351513545284,0.0017,Random Forest
modified_clf11,18,2.8903717578961645,36275,10.498884077752388,2,36275,0,0,0.9124929479549404,0.6723638869745003,0.3276361130254996,0.5,0.2437593466226816,124.48693449728158,81283743.88,21.10480502633408,-1.684871357,25.19987595207561,3.6004025219049325,7.190531814,-1.460579445,732.7356755507192,72.58007077500672,196.2357405365449,0.00049621,KNN
modified_clf12,51,3.9318256327243257,119390,11.690150724339434,2,119390,0,0,0.9509911894723302,0.6295837172292487,0.3704162827707513,0.5,0.1832590503683235,47.34096979909312,288253957.6,22.494621547438857,-2.288201527,244.3225326793908,13.65875334209275,39.81864237,-1.997465566,59692.49993299116,1808.911593058392,8915.599560976678,0.000427171,SVM
modified_clf13,51,3.9318256327243257,11161,9.320180837655714,2,11161,0,0,0.9980173361490172,0.5262073290923752,0.4737926709076248,0.5,0.03706276,32.03671924822254,18235653,451.5138739811641,-7.966609392,12.509645521605725,2.959460808317734,3.2808624085259472,-1.998954726,154.5189201262069,20.234607188763675,34.41091813569181,0.004569483,Xgboost
modified_clf14,35,3.555348061489413,9364,9.144627829,2,9364,0,0,1,0.5,0.5,0.5,0,0.1499038986138299,49129.50373169663,0.3204246009250342,-1.422978761,9.331537344,1.6403538071491288,2.191414794947248,-2.000427305,85.09576425174376,5.791562430851075,16.90765743445795,0.003737719,KNN
modified_clf15,35,3.555348061489413,122,4.804021044733257,2,122,10,12.2,0.7771529943226336,0.7704918032786885,0.2295081967213114,0.5,0.3825331767074765,1.1445901639344265,3491,0.3388164516118029,-1.302543834,11.04536101718726,2.620864113474789,4.142793285,-1.865784905,121.99999999999991,22.212134042251684,44.89944539910629,0.2868852459016393,Random Forest
modified_clf16,13,2.5649493574615367,607,6.408528791059498,2,607,0,0,0.8928499058678334,0.6902800658978583,0.3097199341021416,0.5,0.2690966498419975,544.1593277514515,4293961.255286705,1264.178893856459,-2.425243982,3.869855694013059,0.347736789,1.9988759035155168,-1.583703414,21.73463049531218,3.554586761811088,6.477221098527036,0.021416804,Logistic regression or SVC
modified_clf17,20,2.995732273553991,10127,9.222960403332284,2,10127,0,0,0.6358852490599919,0.8393403772094401,0.1606596227905599,0.5,0.4798997637103921,68.54931223,13883977.698894791,181.45090300780984,-1.848448858,3.732520838931861,0.3411574325969959,1.1081305103098986,-1.986811497,15.689292901407043,1.299591306348391,4.496284963861356,0.001974919,XGBoost
modified_clf18,20,2.995732273553991,10999,9.305559638557115,2,10999,0,0,0.9728535767916208,0.5966906082371125,0.4033093917628875,0.5,0.1367411695230281,193.6398036185108,42596884,364.9725115289116,-0.764106233,2.9494087966936138,0.8583222613363549,1.0567420011489626,-2.000089824,6.700230551461256,0.1814424956021279,2.319360266,0.001818347,Random Forest
modified_clf19,46,3.828641396489095,38245,10.551768111755967,2,38245,0,0,0.5039290811828092,0.8886651849915022,0.1113348150084978,0.5,0.5496555758372302,114.90160712397754,202142950.4,10.58825755926737,-5.003679423,112.8996600799862,5.1026361644365545,17.688076896133925,-1.976792829,12744.99973851287,330.7878523,1896.8172577100408,0.001202772,Xgboost
modified_clf2,21,3.044522437723423,2000,7.600902459542082,4,2000,0,0,2,0.25,0.25,0.25,0,261.2525238095238,10972606,270.27708091379185,-1.228141634,1.019811410531552,0.060191442,0.4112523692352856,-2.001858639,0.2770763245651877,-1.224647144,0.6065539759339303,0.0105,SVM
modified_clf20,24,3.1780538303479458,100000,11.512925464970229,3,100000,0,0,1.4459441981929475,0.53174,0.17828,0.3333333333333333,0.1806740892694172,2534.9312307345044,6083834953.762811,7784.740665169333,-0.731597303,4.343588464239783,0.5921852249841993,1.2516850578496492,-1.493266826,29.77428649715464,1.5416229287076588,7.040048303277916,0.00024,Random Forest
