Dataset_Name,numberofFeatres,logofFeatures,numberofInstances,logofInstances,numberofClasses,numberofNumericalFeatures,numberofCategoricalFeatures,ratio,entropy,classprobmax,classprobmin,classprobmean,classprobstd,symbolsmean,symbolssum,symbolsstd,skewnessmin,skewnessmax,skewnessmean,skewnessstd,kurtosismin,kurtosismax,kurtosismean,kurtosisstd,DatasetRatioofNumberofFeaturestoNumberofInstances
modified_clf1,4,1.3862943611198906,400,5.991464547107982,2,3,1,3.0,0.99971144175281,0.51,0.49,0.5,0.0141421356237309,23260.170833333334,27912205.0,19682.72516245636,0.0401587548767998,0.596902836080957,0.3408556707360303,0.252811381082393,-2.008454736906598,-0.4058775625580293,-1.1722093616348896,0.7786587470125802,0.01
modified_clf10,17,2.833213344056216,10000,9.210340371976184,2,17,0,0.0,0.7292666572167683,0.7963,0.2037,0.5,0.4190314785311481,1.1984275647058824,201695.686,0.7435164606402765,-0.9018115952400578,1.4716106649378211,0.2852141908350011,0.6250245340071403,-1.9967468033281528,1.395258606200119,-0.8055113148477937,0.9010351513545284,0.0017
modified_clf11,18,2.8903717578961645,36275,10.498884077752388,2,18,0,0.0,0.9124929479549404,0.6723638869745003,0.3276361130254996,0.5,0.2437593466226816,124.48693449728158,81259353.88,21.10480502633408,-1.6848713566365243,25.19987595207561,3.6004025219049325,7.19053181430185,-1.4605794445628075,732.7356755507192,72.58007077500672,196.2357405365449,0.0004962095106822
modified_clf12,51,3.9318256327243257,119390,11.690150724339434,2,51,0,0.0,0.9509911894723302,0.6295837172292487,0.3704162827707513,0.5,0.1832590503683235,47.34096979909312,288209733.6,22.494621547438857,-2.2882015271460525,244.3225326793908,13.65875334209275,39.8186423690568,-1.99746556634312,59692.49993299116,1808.911593058392,8915.599560976678,0.0004271714548957
modified_clf13,50,3.912023005428146,11161,9.320180837655714,2,50,0,0.0,0.9980173361490172,0.5262073290923752,0.4737926709076248,0.5,0.037062760236012,32.676962637756475,18230091.0,455.9989928311991,-7.966609392275864,12.509645521605725,2.895737216380817,3.2821351063241604,-1.998954725959736,154.5189201262069,19.92379319797057,34.68788553396007,0.0044798853149359
modified_clf14,35,3.555348061489413,9364,9.1446278286108,2,35,0,0.0,1.0,0.5,0.5,0.5,0.0,0.1499038986138299,44447.50373169663,0.3204246009250342,-1.422978761459821,9.33153734432192,1.6403538071491288,2.191414794947248,-2.00042730477513,85.09576425174376,5.791562430851075,16.90765743445795,0.0037377189235369
modified_clf15,44,3.784189633918261,122,4.804021044733257,2,28,16,1.75,0.4637773498877516,0.9016393442622952,0.0983606557377049,0.5,0.5680038078383742,1.1937939110070257,4599.0,0.4225264400139197,-1.3025438344752485,11.04536101718726,2.1617492105064966,3.4151879334950284,-2.033613445378151,121.99999999999991,14.62788175468444,35.84259267074748,0.360655737704918
modified_clf16,13,2.5649493574615367,607,6.408528791059498,2,13,0,0.0,0.8928499058678334,0.6902800658978583,0.3097199341021416,0.5,0.2690966498419975,544.1593277514515,4293542.255286705,1264.178893856459,-2.425243981927272,3.869855694013059,0.347736788914347,1.9988759035155168,-1.5837034142063589,21.73463049531218,3.554586761811088,6.477221098527036,0.0214168039538715
modified_clf17,20,2.995732273553991,10127,9.222960403332284,2,20,0,0.0,0.6358852490599919,0.8393403772094401,0.1606596227905599,0.5,0.4798997637103921,68.5493122291636,13875477.698894791,181.45090300780984,-1.8484488579523548,3.732520838931861,0.3411574325969959,1.1081305103098986,-1.986811496968627,15.689292901407043,1.299591306348391,4.496284963861356,0.0019749185346104
modified_clf18,20,2.995732273553991,10999,9.305559638557115,2,20,0,0.0,0.9728535767916208,0.5966906082371125,0.4033093917628875,0.5,0.1367411695230281,193.6398036185108,42590321.0,364.9725115289116,-0.7641062332119282,2.9494087966936138,0.8583222613363549,1.0567420011489626,-2.0000898235380173,6.700230551461256,0.1814424956021279,2.31936026645154,0.0018183471224656
modified_clf19,43,3.7612001156935615,38245,10.551768111755967,2,43,0,0.0,0.4781696921860371,0.897084586220421,0.102915413779579,0.5,0.561562407242228,122.89454670469158,202100447.365,10.944778838516475,-5.003679422927736,112.8996600799862,5.328093968299864,18.26888948316367,-1.976792828706964,12744.99973851287,353.11130560670244,1961.3970898837924,0.0011243299777748
modified_clf2,21,3.044522437723423,2000,7.600902459542082,4,21,0,0.0,2.0,0.25,0.25,0.25,0.0,261.2525238095238,10969606.0,270.27708091379185,-1.2281416344153246,1.019811410531552,0.0601914415882502,0.4112523692352856,-2.0018586386605075,0.2770763245651877,-1.2246471442339957,0.6065539759339303,0.0105
modified_clf20,24,3.1780538303479458,100000,11.512925464970229,3,24,0,0.0,1.4459441981929475,0.53174,0.17828,0.3333333333333333,0.1806740892694172,2534.9312307345044,6083699607.762811,7784.740665169333,-0.7315973027160082,4.343588464239783,0.5921852249841993,1.2516850578496492,-1.4932668256337336,29.77428649715464,1.5416229287076588,7.040048303277916,0.00024
